,contest,winner,loser,time
261,1633034411192115,65,56,2020-09-07 00:12:35.625000
262,710805793609578,44,43,2020-09-07 00:12:35.625000
263,1232541688269538,56,57,2020-09-07 00:12:35.625000
264,2106836818005403,43,43,2020-09-07 00:12:35.625000
265,2665097398766809,62,63,2020-09-07 00:12:35.625000
266,4101223350440643,65,57,2020-09-07 00:12:35.625000
267,6244548644470974,51,47,2020-09-07 00:12:35.625000
268,7187503587936494,46,46,2020-09-07 00:12:35.625000
269,8334289766565378,57,59,2020-09-07 00:12:35.625000
270,2849532015646113,71,74,2020-09-07 01:13:19.734000
271,8556356574580931,51,49,2020-09-07 01:13:19.734000
272,2375512230885134,43,52,2020-09-07 01:13:19.734000
273,8963730638496444,51,51,2020-09-07 01:13:19.734000
274,881022402723224,60,18,2020-09-07 02:12:40.432000
275,89734907872534,77,85,2020-09-07 02:12:40.432000
276,5589467261862863,43,44,2020-09-07 02:12:40.432000
277,7546030509638497,53,61,2020-09-07 02:12:40.432000
278,8511715338589192,52,53,2020-09-07 02:12:40.432000
279,6549258805217973,64,53,2020-09-07 03:14:02.165000
280,5228089320809688,79,85,2020-09-07 03:14:02.165000
281,7301248400791334,48,51,2020-09-07 03:14:02.165000
282,7793197060796760,77,75,2020-09-07 03:14:02.165000
283,3153993878593273,71,74,2020-09-07 03:14:02.165000
284,1709608101228917,57,53,2020-09-07 04:29:43.742000
285,3894359119836773,69,71,2020-09-07 04:29:43.742000
286,2576835747744338,49,54,2020-09-07 04:29:43.742000
287,1389117990955571,71,67,2020-09-07 04:29:43.742000
288,380127704859240,44,39,2020-09-07 04:29:43.742000
289,4475971343403353,64,59,2020-09-07 04:29:43.742000
290,7950914163759197,43,51,2020-09-07 04:29:43.742000
291,8684566056905782,71,73,2020-09-07 04:29:43.742000
292,1709368025293787,49,44,2020-09-07 05:15:39.232000
293,4873681449556268,43,57,2020-09-07 05:15:39.232000
294,5625364935029133,49,58,2020-09-07 06:14:00.960000
295,306077991369747,66,65,2020-09-07 06:14:00.960000
296,8520086305983989,50,44,2020-09-07 06:14:00.960000
297,3926228517339088,69,71,2020-09-07 06:14:00.960000
298,4999239091505328,57,60,2020-09-07 06:14:00.960000
299,5766470975941324,50,51,2020-09-07 06:14:00.960000
300,6028425107199913,55,66,2020-09-07 06:14:00.960000
301,7611657471644212,44,49,2020-09-07 06:14:00.960000
302,3688337568076573,78,83,2020-09-07 07:16:21.757000
303,4058109953418330,83,85,2020-09-07 07:16:21.757000
304,6606978707812488,79,77,2020-09-07 08:29:37.062000
305,1305873024592788,83,84,2020-09-07 08:29:37.062000
306,1708409405502065,53,53,2020-09-07 08:29:37.062000
307,7043360730384094,49,53,2020-09-07 09:33:21.836000
308,7898751826400916,54,53,2020-09-07 11:18:41.700000
309,11764870229864,54,55,2020-09-07 12:26:52.177000
310,7300853066327180,55,53,2020-09-07 12:26:52.177000
311,167986307177382,60,64,2020-09-07 13:35:27.004000
312,1691710574488809,50,61,2020-09-07 14:12:42.836000
313,4101627031728161,56,56,2020-09-07 14:12:42.836000
314,1194898622349715,47,46,2020-09-07 15:12:08.854000
315,4833218073704370,73,71,2020-09-07 15:12:08.854000
316,300828758230898,56,60,2020-09-07 15:12:08.854000
317,3891678982543332,51,53,2020-09-07 16:16:17.651000
318,5481246519132087,59,64,2020-09-07 16:16:17.651000
319,4856165923423747,85,84,2020-09-07 17:19:27.763000
320,5160907260807620,41,49,2020-09-07 17:19:27.763000
321,6958762325545518,85,86,2020-09-07 17:19:27.763000
322,7730488002694132,52,45,2020-09-07 17:19:27.763000
323,4988054925005668,58,59,2020-09-07 18:11:07.421000
324,5038200431140761,52,47,2020-09-07 18:11:07.421000
325,6714014747522064,58,60,2020-09-07 19:14:34.350000
326,1576395799899255,0,55,2020-09-07 19:14:34.350000
327,297789039270538,55,0,2020-09-07 19:14:34.350000
328,4087917646548764,85,83,2020-09-07 19:14:34.350000
329,4278049874606403,72,78,2020-09-07 19:14:34.350000
330,4492700174922394,64,53,2020-09-07 19:14:34.350000
331,6673198454059796,66,61,2020-09-07 19:14:34.350000
332,8735350954657995,77,73,2020-09-07 19:14:34.350000
333,4360162202163566,60,57,2020-09-07 19:14:34.350000
334,4733587424898052,57,65,2020-09-07 19:14:34.350000
335,6861117341882301,57,61,2020-09-07 19:14:34.350000
336,4013093163360758,73,71,2020-09-07 20:14:18.540000
